Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
humaneval-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5065217391304347,161,20,20
humaneval-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5999504937114306,161,20,20
humaneval-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.31064516129032255,155,20,20
humaneval-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.41666791213380644,155,20,20
humaneval-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,155,20,20
humaneval-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.8083850931677017,161,20,20
humaneval-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.8409156128566547,161,20,20
humaneval-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5422360248447206,161,20,20
humaneval-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6815053972814104,161,20,20
humaneval-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5996894409937888,161,20,20
humaneval-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6768162514561761,161,20,20
humaneval-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.38354037267080743,161,20,20
humaneval-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.4822265834851648,161,20,20
humaneval-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5605590062111802,161,20,20
humaneval-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7038923857136269,161,20,20
humaneval-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,161,20,20
humaneval-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7878205128205129,156,20,20
humaneval-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.8328165741537973,156,20,20
humaneval-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,156,20,20
humaneval-rs-bigcode_gpt_bigcode_santacoder-0.2-reworded,1,0.023076923076923078,156,20,20
humaneval-rs-bigcode_gpt_bigcode_santacoder-0.2-reworded,10,0.03201655155989521,156,20,20
humaneval-rs-bigcode_gpt_bigcode_santacoder-0.2-reworded,100,1.0,156,20,20
humaneval-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7559374999999999,160,20,20
humaneval-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.8415024410573947,160,20,20
humaneval-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,160,20,20
humaneval-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5085443037974683,158,20,20
humaneval-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5739412447097519,158,20,20
humaneval-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,158,20,20
humaneval-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7164556962025316,158,20,20
humaneval-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7844423133789047,158,20,20
humaneval-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,158,20,20
humaneval-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.8336477987421385,159,20,20
humaneval-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.8836841206576589,159,20,20
humaneval-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,159,20,20
mbpp-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.27465753424657535,365,20,20
mbpp-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.32757013545002855,365,20,20
mbpp-adb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,365,20,20
mbpp-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.4870277078085642,397,20,20
mbpp-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5891059638710363,397,20,20
mbpp-clj-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6913098236775819,397,20,20
mbpp-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7434206504400139,397,20,20
mbpp-cpp-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5273316062176167,386,20,20
mbpp-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5800250115626525,386,20,20
mbpp-cs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,386,20,20
mbpp-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.44525139664804464,358,20,20
mbpp-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5527198427253776,358,20,20
mbpp-d-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,358,20,20
mbpp-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.4515113350125944,397,20,20
mbpp-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5562990206758094,397,20,20
mbpp-elixir-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6307486631016043,374,20,20
mbpp-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6923770857542649,374,20,20
mbpp-go-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,374,20,20
mbpp-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.4766197183098591,355,20,20
mbpp-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.570866958445993,355,20,20
mbpp-hs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,355,20,20
mbpp-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6637662337662338,385,20,20
mbpp-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7001394749354221,385,20,20
mbpp-java-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,385,20,20
mbpp-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6229487179487179,390,20,20
mbpp-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7190167100502896,390,20,20
mbpp-jl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,390,20,20
mbpp-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6720403022670025,397,20,20
mbpp-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7298059206197645,397,20,20
mbpp-js-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.43790931989924436,397,20,20
mbpp-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.5512511075265011,397,20,20
mbpp-lua-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.33436619718309857,355,20,20
mbpp-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.4742322191827272,355,20,20
mbpp-ml-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,355,20,20
mbpp-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6259445843828715,397,20,20
mbpp-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7097843337032768,397,20,20
mbpp-php-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.37739898989898996,396,20,20
mbpp-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.4693531227973953,396,20,20
mbpp-pl-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,396,20,20
mbpp-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5688916876574307,397,20,20
mbpp-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.671758198286495,397,20,20
mbpp-r-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.02065491183879093,397,20,20
mbpp-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.032466648230387106,397,20,20
mbpp-rb-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.5095717884130982,397,20,20
mbpp-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6175296052529327,397,20,20
mbpp-rkt-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,397,20,20
mbpp-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.7379943502824858,354,20,20
mbpp-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.7883804420378908,354,20,20
mbpp-rs-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,354,20,20
mbpp-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6056818181818181,396,20,20
mbpp-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6889377548679546,396,20,20
mbpp-scala-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,396,20,20
mbpp-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.525916230366492,382,20,20
mbpp-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6010404241666297,382,20,20
mbpp-sh-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,382,20,20
mbpp-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.6305555555555556,396,20,20
mbpp-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.6992792951489828,396,20,20
mbpp-swift-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,396,20,20
mbpp-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,1,0.49256410256410255,390,20,20
mbpp-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,10,0.737676761200219,390,20,20
mbpp-ts-Qwen_Qwen3_Coder_30B_A3B_Instruct-0.2-reworded,100,1.0,390,20,20
humaneval-total,1,0.5595286110410890,3967,20,20
humaneval-total,10,0.6318412599675747,3967,20,20
humaneval-total,100,1.0000000000000000,3967,20,20
mbpp-total,1,0.5139808018068887,8855,20,20
mbpp-total,10,0.6005867949644794,8855,20,20
mbpp-total,100,1.0000000000000000,8855,20,20
