Dataset,Pass@k,Estimate,NumProblems,MinCompletions,MaxCompletions
humaneval-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,159,20,20
humaneval-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.001863354037267081,161,20,20
humaneval-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.015691402419091206,161,20,20
humaneval-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5732919254658386,161,20,20
humaneval-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7608861726508785,161,20,20
humaneval-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.34161290322580645,155,20,20
humaneval-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5558014441366084,155,20,20
humaneval-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,155,20,20
humaneval-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.7624223602484472,161,20,20
humaneval-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.8492098828617876,161,20,20
humaneval-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.520807453416149,161,20,20
humaneval-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7526772930932306,161,20,20
humaneval-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.017391304347826087,161,20,20
humaneval-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.0469103853475909,161,20,20
humaneval-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5953416149068322,161,20,20
humaneval-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7915023124674491,161,20,20
humaneval-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.8089743589743591,156,20,20
humaneval-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.8901329529008739,156,20,20
humaneval-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,156,20,20
humaneval-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.4773291925465838,161,20,20
humaneval-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7079731414096739,161,20,20
humaneval-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,161,20,20
humaneval-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.035312500000000004,160,20,20
humaneval-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.07450427861612072,160,20,20
humaneval-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,160,20,20
humaneval-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.4594936708860759,158,20,20
humaneval-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5465695980548824,158,20,20
humaneval-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,158,20,20
humaneval-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.6908227848101266,158,20,20
humaneval-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7991564515744475,158,20,20
humaneval-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,158,20,20
humaneval-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.09182389937106919,159,20,20
humaneval-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.34259916631842563,159,20,20
humaneval-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,159,20,20
mbpp-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.21904109589041096,365,20,20
mbpp-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.3010122495512037,365,20,20
mbpp-adb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,365,20,20
mbpp-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5125944584382871,397,20,20
mbpp-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6498825355225133,397,20,20
mbpp-clj-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.6793450881612091,397,20,20
mbpp-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7717855718534181,397,20,20
mbpp-cpp-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.40336787564766835,386,20,20
mbpp-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5654463941070239,386,20,20
mbpp-cs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,386,20,20
mbpp-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.467877094972067,358,20,20
mbpp-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6230167863856918,358,20,20
mbpp-d-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,358,20,20
mbpp-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.0,397,20,20
mbpp-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.0,397,20,20
mbpp-elixir-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5922459893048129,374,20,20
mbpp-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6906125963736764,374,20,20
mbpp-go-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,374,20,20
mbpp-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.44971830985915495,355,20,20
mbpp-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5932138284250961,355,20,20
mbpp-hs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,355,20,20
mbpp-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.58639896373057,386,20,20
mbpp-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7134598305654947,386,20,20
mbpp-java-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,386,20,20
mbpp-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5312820512820513,390,20,20
mbpp-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6687465130725432,390,20,20
mbpp-jl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,390,20,20
mbpp-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.021284634760705294,397,20,20
mbpp-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.0717785150956537,397,20,20
mbpp-js-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.546095717884131,397,20,20
mbpp-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7263110122559086,397,20,20
mbpp-lua-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.27098591549295775,355,20,20
mbpp-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5251394835487627,355,20,20
mbpp-ml-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,355,20,20
mbpp-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.6017632241813602,397,20,20
mbpp-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.7380371322885224,397,20,20
mbpp-php-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.4436868686868687,396,20,20
mbpp-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5931307215785122,396,20,20
mbpp-pl-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,396,20,20
mbpp-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.0,397,20,20
mbpp-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.0,397,20,20
mbpp-rb-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5172544080604534,397,20,20
mbpp-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6736491257882341,397,20,20
mbpp-rkt-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.7255649717514125,354,20,20
mbpp-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.8345653904438078,354,20,20
mbpp-rs-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,354,20,20
mbpp-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5400503778337531,397,20,20
mbpp-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6739507558283829,397,20,20
mbpp-r-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,397,20,20
mbpp-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.3953282828282828,396,20,20
mbpp-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5939678207304158,396,20,20
mbpp-scala-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,396,20,20
mbpp-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.47480211081794194,379,20,20
mbpp-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.5966214956775908,379,20,20
mbpp-sh-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,379,20,20
mbpp-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.5872474747474747,396,20,20
mbpp-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.6929555301001966,396,20,20
mbpp-swift-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,396,20,20
mbpp-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,1,0.15025641025641026,390,20,20
mbpp-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,10,0.46054631444605243,390,20,20
mbpp-ts-_work_go25_share_model_Qwen3_Coder_30B_A3B_Instruct_mcore_hf_code_trans_489pairs_0826-0.2-reworded,100,1.0,390,20,20
humaneval-total,1,0.3739963264235109,3811,20,20
humaneval-total,10,0.4925929213103460,3811,20,20
humaneval-total,100,1.0000000000000000,3811,20,20
mbpp-total,1,0.4214785948266124,8853,20,20
mbpp-total,10,0.5532130132297154,8853,20,20
mbpp-total,100,1.0000000000000000,8853,20,20
